Simulatation Second,congestion window
RxDrop at1.65284
RxDrop at1.82377
RxDrop at2.08535
RxDrop at2.79582
RxDrop at2.8469
RxDrop at2.85815
RxDrop at2.89996
RxDrop at2.91188
RxDrop at2.97059
RxDrop at2.97159
RxDrop at3.02632
RxDrop at3.02909
RxDrop at3.05084
RxDrop at3.0732
RxDrop at3.08533
RxDrop at3.15284
RxDrop at3.20107
RxDrop at3.29513
RxDrop at3.42398
RxDrop at3.4244
RxDrop at3.42723
RxDrop at3.7824
RxDrop at4.0935
RxDrop at4.32898
RxDrop at4.89877
RxDrop at5.1993
RxDrop at5.36848
RxDrop at5.87782
RxDrop at5.97817
RxDrop at6.10208
RxDrop at6.39555
RxDrop at6.4319
RxDrop at6.87251
RxDrop at6.90251
RxDrop at7.30688
RxDrop at7.328
RxDrop at7.49565
RxDrop at7.64822
RxDrop at7.74709
RxDrop at7.76034
RxDrop at7.83132
RxDrop at7.83294
RxDrop at7.88659
RxDrop at7.89866
RxDrop at7.94534
RxDrop at7.98386
RxDrop at7.99097
RxDrop at8.0027
RxDrop at8.04626
RxDrop at8.1413
RxDrop at8.34088
RxDrop at8.81347
RxDrop at8.82971
RxDrop at8.88255
RxDrop at8.94096
RxDrop at9.05688
RxDrop at9.12552
RxDrop at9.18002
RxDrop at9.23492
RxDrop at9.34471
RxDrop at9.52596
RxDrop at9.55036
RxDrop at9.77891
RxDrop at9.87379
RxDrop at10.4062
RxDrop at10.5828
RxDrop at10.5928
RxDrop at11.2032
RxDrop at11.8388
RxDrop at12.1107
RxDrop at12.1172
RxDrop at12.342
RxDrop at12.3785
RxDrop at12.4165
RxDrop at12.5468
RxDrop at12.5853
RxDrop at12.7813
RxDrop at12.8069
RxDrop at12.8232
RxDrop at12.8763
RxDrop at12.9017
RxDrop at13.1915
RxDrop at13.6396
RxDrop at14.1217
RxDrop at14.156
RxDrop at14.2007
RxDrop at14.2184
RxDrop at14.3335
RxDrop at14.3672
RxDrop at14.544
RxDrop at14.7191
RxDrop at14.819
RxDrop at15.1576
RxDrop at15.5169
RxDrop at15.5648
RxDrop at15.8003
RxDrop at16.056
RxDrop at16.3326
RxDrop at16.5299
RxDrop at16.5621
RxDrop at16.6701
RxDrop at16.6835
RxDrop at16.7566
RxDrop at16.8139
RxDrop at16.85
RxDrop at17.0668
RxDrop at17.2069
RxDrop at17.2301
RxDrop at17.2447
RxDrop at17.2466
RxDrop at17.2725
RxDrop at17.3054
RxDrop at17.4535
RxDrop at17.5374
RxDrop at17.901
RxDrop at18.0816
RxDrop at18.241
RxDrop at18.2841
RxDrop at18.3073
RxDrop at18.4023
RxDrop at18.5374
RxDrop at18.9951
RxDrop at19.0619
RxDrop at19.1741
RxDrop at19.4015
RxDrop at19.5137
RxDrop at19.7532
RxDrop at19.8082
RxDrop at20.0581
RxDrop at20.4129
RxDrop at20.5004
RxDrop at20.5432
RxDrop at20.5582
RxDrop at20.8023
RxDrop at20.9385
RxDrop at20.9551
RxDrop at21.2276
RxDrop at21.2988
RxDrop at21.7588
RxDrop at21.824
RxDrop at21.8528
RxDrop at21.8838
RxDrop at22.0921
RxDrop at22.0957
RxDrop at22.1302
RxDrop at22.2423
RxDrop at22.3197
RxDrop at22.4282
RxDrop at22.547
RxDrop at22.6798
RxDrop at22.8438
RxDrop at22.8507
RxDrop at22.862
RxDrop at22.9431
RxDrop at23.0052
RxDrop at23.0545
RxDrop at23.3829
RxDrop at23.4279
RxDrop at23.4641
RxDrop at23.4729
RxDrop at23.4837
RxDrop at23.4914
RxDrop at23.5301
RxDrop at23.735
RxDrop at23.9282
